year,region,farmer,farmer_gender,fertilizer_treatment,code,mission_number,date_surveyed,ose_count,temperature,percent_ground_cover,ose_damage_percent,yield_date_havested,rendement_en_kg_ha
2021,Kaffrine,02.51,M,control,02-51-00.,1,July 27th to august 3th,28,29,70,10,October 20th to 31th,700
2021,Kaffrine,02.51,M,control,02-51-00.,2,August 30th toseptember 4th,21,26,80,5,October 20th to 31th,700
2021,Kaffrine,02.51,M,control,02-51-00.,3,September 28th to october 5th,15,32,70,0,October 20th to 31th,700
2021,Kaffrine,02.51,M,fertilized,02-51-01.,1,July 27th to august 3th,42,29,60,7,October 20th to 31th,1000
2021,Kaffrine,02.51,M,fertilized,02-51-01.,2,August 30th toseptember 4th,24,24,90,5,October 20th to 31th,1000
2021,Kaffrine,02.51,M,fertilized,02-51-01.,3,September 28th to october 5th,20,32,90,6,October 20th to 31th,1000
2021,Kaffrine,02.52,M,control,02-52-00.,1,July 27th to august 3th,82,31,45,9,October 20th to 31th,227
2021,Kaffrine,02.52,M,control,02-52-00.,2,August 30th toseptember 4th,46,23,75,3,October 20th to 31th,227
2021,Kaffrine,02.52,M,control,02-52-00.,3,September 28th to october 5th,74,24,75,3,October 20th to 31th,227
2021,Kaffrine,02.52,M,fertilized,02-52-01.,1,July 27th to august 3th,48,32,75,4,October 20th to 31th,500
2021,Kaffrine,02.52,M,fertilized,02-52-01.,2,August 30th toseptember 4th,22,25,90,4,October 20th to 31th,500
2021,Kaffrine,02.52,M,fertilized,02-52-01.,3,September 28th to october 5th,2,25,90,4,October 20th to 31th,500
2021,Kaffrine,02.53,M,control,02-53-00,1,July 27th to august 3th,35,26,30,4,October 20th to 31th,300
2021,Kaffrine,02.53,M,control,02-53-00,2,August 30th toseptember 4th,21,26,80,4,October 20th to 31th,300
2021,Kaffrine,02.53,M,control,02-53-00,3,September 28th to october 5th,34,27,70,4,October 20th to 31th,300
2021,Kaffrine,02.53,M,fertilized,02-53-01,1,July 27th to august 3th,23,26,30,2,October 20th to 31th,500
2021,Kaffrine,02.53,M,fertilized,02-53-01,2,August 30th toseptember 4th,16,24,70,2,October 20th to 31th,500
2021,Kaffrine,02.53,M,fertilized,02-53-01,3,September 28th to october 5th,12,26,60,0,October 20th to 31th,500
2021,Kaffrine,02.54,M,control,02-54-00,1,July 27th to august 3th,96,34,10,6,October 20th to 31th,NA
2021,Kaffrine,02.54,M,control,02-54-00,2,August 30th toseptember 4th,62,33,90,15,October 20th to 31th,NA
2021,Kaffrine,02.54,M,control,02-54-00,3,September 28th to october 5th,72,32,80,15,October 20th to 31th,NA
2021,Kaffrine,02.54,M,fertilized,02-54-01,1,July 27th to august 3th,77,33,10,8,October 20th to 31th,NA
2021,Kaffrine,02.54,M,fertilized,02-54-01,2,August 30th toseptember 4th,46,34,90,15,October 20th to 31th,NA
2021,Kaffrine,02.54,M,fertilized,02-54-01,3,September 28th to october 5th,2,32,90,0,October 20th to 31th,NA
2021,Kaffrine,02.55,M,control,02-55-00,1,July 27th to august 3th,16,30,15,6,October 20th to 31th,567
2021,Kaffrine,02.55,M,control,02-55-00,2,August 30th toseptember 4th,10,32,80,0,October 20th to 31th,567
2021,Kaffrine,02.55,M,control,02-55-00,3,September 28th to october 5th,23,32,70,0,October 20th to 31th,567
2021,Kaffrine,02.55,M,fertilized,02-55-01,1,July 27th to august 3th,18,30,15,4,October 20th to 31th,810
2021,Kaffrine,02.55,M,fertilized,02-55-01,2,August 30th toseptember 4th,12,32,70,0,October 20th to 31th,810
2021,Kaffrine,02.55,M,fertilized,02-55-01,3,September 28th to october 5th,1,32,60,0,October 20th to 31th,810
2021,Kaffrine,02.56,M,control,02-56-00.,1,July 27th to august 3th,63,24,95,10,October 20th to 31th,340
2021,Kaffrine,02.56,M,control,02-56-00.,2,August 30th toseptember 4th,41,30,85,10,October 20th to 31th,340
2021,Kaffrine,02.56,M,control,02-56-00.,3,September 28th to october 5th,48,31,85,5,October 20th to 31th,340
2021,Kaffrine,02.56,M,fertilized,02-56-01.,1,July 27th to august 3th,39,24,90,7,October 20th to 31th,510
2021,Kaffrine,02.56,M,fertilized,02-56-01.,2,August 30th toseptember 4th,24,30,95,7,October 20th to 31th,510
2021,Kaffrine,02.56,M,fertilized,02-56-01.,3,September 28th to october 5th,13,31,95,0,October 20th to 31th,510
2021,Kaffrine,02.57,M,control,02-57-00.,1,July 27th to august 3th,50,33,85,15,October 20th to 31th,640
2021,Kaffrine,02.57,M,control,02-57-00.,2,August 30th toseptember 4th,26,23,70,4,October 20th to 31th,640
2021,Kaffrine,02.57,M,control,02-57-00.,3,September 28th to october 5th,42,24,70,1,October 20th to 31th,640
2021,Kaffrine,02.57,M,fertilized,02-57-01.,1,July 27th to august 3th,29,33,75,8,October 20th to 31th,1274
2021,Kaffrine,02.57,M,fertilized,02-57-01.,2,August 30th toseptember 4th,16,23,85,0,October 20th to 31th,1274
2021,Kaffrine,02.57,M,fertilized,02-57-01.,3,September 28th to october 5th,8,24,85,0,October 20th to 31th,1274
2021,Kaffrine,02.58,M,control,02-58-00.,1,July 27th to august 3th,44,30,80,7,October 20th to 31th,1040
2021,Kaffrine,02.58,M,control,02-58-00.,2,August 30th toseptember 4th,48,26,85,10,October 20th to 31th,1040
2021,Kaffrine,02.58,M,control,02-58-00.,3,September 28th to october 5th,78,26,85,0,October 20th to 31th,1040
2021,Kaffrine,02.58,M,fertilized,02-58-01.,1,July 27th to august 3th,32,31,70,6,October 20th to 31th,1040
2021,Kaffrine,02.58,M,fertilized,02-58-01.,2,August 30th toseptember 4th,30,26,85,6,October 20th to 31th,1040
2021,Kaffrine,02.58,M,fertilized,02-58-01.,3,September 28th to october 5th,12,26,85,0,October 20th to 31th,1040
